300451 300437 0.5 0 0 0 0 -12 83 0 0   0.5 0 0	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 2 0 0  0 0 0
300821 300816 0.498568 0 0 0 0 -11 83 0 0   0.498568 0 0	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 2 0 0  0 0 0
301124 301116 0.467239 -2.30542e-05 -0.00168889 0 -0.0436332 -10 79 14 0   0.467239 -2.30542e-05 -0.00168889	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 2 0 0  0 0 0
301393 301358 0.444593 -5.98283e-05 0.00482526 0 0.0261799 -5 74 -25 0   0.444593 -5.98283e-05 0.00482526	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 2 0 0  0 0 0
301629 301610 0.421678 -9.78678e-05 0.00165545 0 0.0349066 4 80 -11 0   0.421678 -9.78678e-05 0.00165545	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 2 0 0  0 0 0
301831 301830 0.398942 -0.000164401 0.00441976 0 0 10 95 -19 0   0.398942 -0.000164392 0.00441978	0.398942 -0.000164392 0.00441978	0 0 0	0 0 -9999 0 2 0 0 0 2 0 0  0 0 0
302033 302030 0.378086 -0.00026171 0.00412713 0 0 21 94 -29 0   0.378086 -0.000261703 0.00413502	0.379373 -0.00538997 0.00660065	0 0 0	0 0 0 0 2 0 1 1 2 0 0  0 0 0
302403 302390 0.342282 -0.000456727 0.00465073 0 0 35 97 -33 0   0.342282 -0.000456999 0.00466824	0.341512 -0.00755948 0.00734807	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
302605 302590 0.321606 -0.000585384 0.00654237 0 0.00872665 36 96 -43 0   0.321606 -0.00058602 0.006566	0.318985 -0.00754513 0.00810565	0 0 0	0 0 0 0 2 1 1 1 2 0 0  0 0 0
302807 302790 0.30066 -0.00072048 0.00654237 0 0.00872665 43 90 -44 0   0.300661 -0.000721607 0.00658174	0.30447 -0.0121391 0.0101908	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
303009 302991 0.279984 -0.000855574 0.00619331 0 0 49 89 -39 0   0.279658 -0.00134807 0.00625262	0.282491 -0.0162089 0.0104588	0 0 0	0 0 0 0 2 1 1 1 2 0 0  0 0 0
303245 303230 0.254921 -0.00100409 0.00552339 0 -0.00872665 56 89 -38 0   0.254596 -0.00149807 0.00559785	0.260596 -0.0141788 0.00855551	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
303447 303432 0.236392 -0.00110906 0.00482526 0 0 62 92 -40 0   0.236089 -0.00138401 0.00492234	0.242008 -0.0164416 0.00903968	0 0 0	0 0 0 0 2 1 1 1 2 0 0  0 0 0
303649 303632 0.215895 -0.00123168 0.00566971 0 0 71 92 -37 0   0.215591 -0.00150862 0.00578859	0.22244 -0.0179899 0.00950676	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
303851 303832 0.195218 -0.001357 0.00619331 0 -0.0174533 71 89 -38 0   0.194915 -0.0016364 0.00633148	0.198329 -0.0179157 0.00942896	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
304053 304052 0.172572 -0.00150177 0.00689144 0 0 75 87 -47 0   0.172289 -0.00237114 0.00705712	0.179377 -0.0198757 0.0112293	0 0 0	0 0 0 0 2 1 1 1 2 0 0  0 0 0
304255 304252 0.152253 -0.0016356 0.00671691 0 0 78 88 -49 0   0.15197 -0.00250833 0.00690632	0.15795 -0.0192139 0.0103222	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
304490 304472 0.129608 -0.00179077 0.00671691 0 0.00872665 76 73 -50 0   0.129325 -0.00266779 0.00693549	0.13952 -0.0201015 0.0109313	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
304692 304692 0.106514 -0.00195578 0.00758957 0 0 77 80 -54 0   0.10645 -0.00317271 0.00784071	0.116404 -0.0217617 0.0120983	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
304894 304892 0.0858376 -0.00210755 0.00657059 0 0 81 75 -56 0   0.0857735 -0.00332967 0.00687517	0.100192 -0.0217001 0.0135638	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
305130 305112 0.0631919 -0.00227115 0.00706597 0 0 82 75 -51 0   0.0631277 -0.00350017 0.00740715	0.0749676 -0.0215297 0.0118037	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
305332 305332 0.040367 -0.00241798 0.00636784 0 0 87 63 -53 0   0.0403029 -0.00365479 0.00675897	0.0596533 -0.0267802 0.0125299	0 0 0	0 0 0 0 2 1 1 1 2 0 0  0 0 0
305568 305552 0.017542 -0.00255654 0.00499979 0 0 96 70 -51 0   0.017478 -0.00380228 0.00546406	0.0342721 -0.0310011 0.0136059	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
305770 305752 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0108542 -0.00384251 0.00653898	0.0247086 -0.0322509 0.0125514	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
305972 305970 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0108542 -0.00384251 0.00659307	0.0229352 -0.0289175 0.0122181	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
306174 306170 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00663898	0.0244613 -0.029119 0.0112646	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
306376 306370 0.0109182 -0.00259369 0.00601877 0 0.0174533 102 133 -52 0   0.0110228 -0.00280501 0.00668444	0.0232453 -0.0302421 0.0111287	0 0 0	0 0 0 0 2 1 1 0 2 0 0  0 0 0
