778583 778578 0.5 0 0 0 0 61 75 -243 0   0.5 0 0	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 4 0 0  0 0 0
778785 778778 0.499821 0 0 0 0 61 75 -243 0   0.499821 0 0	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 4 0 0  0 0 0
779122 779119 0.467239 -6.34179e-05 0.00168889 0 0 60 69 -245 0   0.467239 -6.34179e-05 0.00168889	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 4 0 0  0 0 0
779424 779411 0.440923 -0.000121656 0.00256156 0 -0.0174533 59 65 -250 0   0.440923 -0.000121656 0.00256156	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 4 0 0  0 0 0
779626 779611 0.420693 -0.000177697 0.00483049 0 0.0349066 63 65 -268 0   0.420693 -0.000177697 0.00483049	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 4 0 0  0 0 0
779828 779811 0.39939 -0.000293291 0.00535409 0 -0.00872665 66 74 -264 0   0.39939 -0.000293257 0.00535417	0.39939 -0.000293257 0.00535417	0 0 0	0 0 -9999 0 2 0 0 0 4 0 0  0 0 0
780030 780011 0.378624 -0.000386542 0.00395782 0 -0.00872665 69 77 -258 0   0.378624 -0.000386508 0.00396103	0.378618 0.000266285 0.00496344	0 0 0	0 0 0 0 2 0 1 0 4 0 0  0 0 0
780266 780251 0.35365 -0.000471537 0.00308516 0 0 71 85 -254 0   0.35365 -0.000471582 0.00309472	0.352468 0.000869503 0.00486456	0 0 0	0 0 0 0 2 0 1 1 4 0 0  0 0 0
780468 780474 0.330735 -0.000542217 0.00325969 0 0 72 80 -257 0   0.330735 -0.000542482 0.00327955	0.333095 -0.00121576 0.00586995	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
780704 780692 0.307731 -0.000613893 0.00325969 0 0 69 86 -256 0   0.307731 -0.000614617 0.00328535	0.308097 0.000671064 0.00461608	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
780906 780892 0.286786 -0.000683622 0.00325969 0 0 66 84 -256 0   0.286786 -0.000684884 0.00329204	0.288941 0.00260508 0.00470182	0 0 0	0 0 0 0 2 1 1 0 4 0 0  0 0 0
